CustomerID,Recency,Frequency,Monetary,Churn,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment
50123,37.0,5.0,159.57,0,1,5,3,9,3,Champions
50124,44.0,1.0,139.2,0,4,1,1,6,1,Loyal Customers
50125,44.0,1.0,164.34,0,4,1,3,8,1,Loyal Customers
50126,46.0,1.0,200.48,1,5,1,4,10,1,Loyal Customers
50127,43.0,11.0,209.38,0,3,5,5,13,2,Champions
50128,41.0,1.0,123.4,0,2,1,1,4,1,Loyal Customers
50129,44.0,1.0,165.45,0,4,1,3,8,1,Loyal Customers
50130,44.0,1.0,169.31,0,4,1,3,8,1,Loyal Customers
50131,44.0,1.0,148.98,0,4,1,2,7,1,Loyal Customers
50132,38.0,7.0,125.93,0,1,5,1,7,3,Champions
50133,37.0,3.0,294.36,0,1,4,5,10,0,Champions
50134,46.0,1.0,127.23,0,5,1,1,7,1,Loyal Customers
50135,42.0,1.0,134.79,1,2,1,1,4,1,Loyal Customers
50136,43.0,1.0,127.94,0,3,1,1,5,1,Loyal Customers
50137,41.0,7.0,152.49,0,2,5,2,9,3,Champions
50138,42.0,1.0,121.76,0,2,1,1,4,1,Loyal Customers
50139,39.0,7.0,268.72,0,2,5,5,12,2,Champions
50140,46.0,1.0,134.85,1,5,1,1,7,1,Loyal Customers
50141,46.0,1.0,166.44,0,5,1,3,9,1,Loyal Customers
50142,38.0,7.0,155.82,0,1,5,3,9,3,Champions
50143,41.0,1.0,140.0,0,2,1,1,4,1,Loyal Customers
50144,36.0,2.0,234.96,0,1,2,5,8,3,Champions
50145,35.0,10.0,132.1,0,1,5,1,7,2,Champions
50146,33.0,4.0,290.45,0,1,4,5,10,0,Champions
50147,43.0,9.0,218.49,1,3,5,5,13,2,Champions
50148,42.0,1.0,120.7,0,2,1,1,4,1,Loyal Customers
50149,45.0,1.0,165.02,0,5,1,3,9,1,Loyal Customers
50150,46.0,1.0,132.3,0,5,1,1,7,1,Loyal Customers
50151,44.0,2.0,236.03,0,4,2,5,11,0,Champions
50152,43.0,6.0,219.96,0,3,5,5,13,0,Champions
50153,39.0,7.0,156.05,0,2,5,3,10,3,Champions
50154,42.0,1.0,163.97,0,2,1,3,6,1,Loyal Customers
50155,40.0,1.0,291.44,0,2,1,5,8,0,Champions
50156,43.0,1.0,275.84,0,3,1,5,9,0,Champions
50157,40.0,11.0,149.07,0,2,5,2,9,2,Champions
50158,37.0,1.0,145.54,0,1,1,2,4,3,Champions
50159,38.0,1.0,154.15,0,1,1,3,5,3,Champions
50160,43.0,3.0,147.41,0,3,4,2,9,1,Loyal Customers
50161,39.0,5.0,121.15,0,2,5,1,8,3,Champions
50162,46.0,1.0,131.61,1,5,1,1,7,1,Loyal Customers
50163,44.0,1.0,157.45,0,4,1,3,8,1,Loyal Customers
50164,44.0,1.0,123.73,1,4,1,1,6,1,Loyal Customers
50165,44.0,1.0,133.1,0,4,1,1,6,1,Loyal Customers
50166,44.0,1.0,286.65,0,4,1,5,10,0,Champions
50167,39.0,7.0,144.85,0,2,5,2,9,3,Champions
50168,44.0,2.0,127.89,0,4,2,1,7,1,Loyal Customers
50169,42.0,7.0,158.28,1,2,5,3,10,2,Champions
50170,44.0,1.0,123.26,0,4,1,1,6,1,Loyal Customers
50171,38.0,2.0,235.25,0,1,2,5,8,0,Champions
50172,46.0,1.0,114.2,1,5,1,1,7,1,Loyal Customers
50173,37.0,6.0,180.2,0,1,5,4,10,3,Champions
50174,46.0,1.0,136.88,0,5,1,1,7,1,Loyal Customers
50175,44.0,1.0,154.82,0,4,1,3,8,1,Loyal Customers
50176,42.0,2.0,260.15,0,2,2,5,9,0,Champions
50177,46.0,1.0,112.0,0,5,1,1,7,1,Loyal Customers
50178,39.0,1.0,156.61,0,2,1,3,6,3,Champions
50179,39.0,7.0,169.29,0,2,5,3,10,2,Champions
50180,39.0,3.0,196.13,0,2,4,4,10,3,Champions
50181,38.0,1.0,156.74,0,1,1,3,5,3,Champions
50182,38.0,4.0,154.84,0,1,4,3,8,3,Champions
50183,43.0,1.0,220.61,0,3,1,5,9,0,Champions
50184,44.0,1.0,156.6,0,4,1,3,8,1,Loyal Customers
50185,43.0,1.0,148.21,0,3,1,2,6,1,Loyal Customers
50186,46.0,1.0,164.1,0,5,1,3,9,1,Loyal Customers
50187,35.0,9.0,152.1,0,1,5,2,8,2,Champions
50188,44.0,2.0,126.95,0,4,2,1,7,1,Loyal Customers
50189,43.0,8.0,218.78,0,3,5,5,13,2,Champions
50190,36.0,11.0,270.68,0,1,5,5,11,2,Champions
50191,39.0,1.0,124.55,0,2,1,1,4,3,Champions
50192,39.0,2.0,239.64,0,2,2,5,9,0,Champions
50193,39.0,7.0,149.41,1,2,5,2,9,3,Champions
50194,44.0,1.0,124.78,0,4,1,1,6,1,Loyal Customers
50195,37.0,11.0,152.28,0,1,5,2,8,2,Champions
50196,42.0,1.0,144.78,0,2,1,2,5,1,Loyal Customers
50197,39.0,1.0,175.47,0,2,1,4,7,3,Champions
50198,39.0,1.0,150.55,0,2,1,2,5,3,Champions
50199,44.0,2.0,134.64,1,4,2,1,7,1,Loyal Customers
50200,37.0,1.0,157.75,0,1,1,3,5,3,Champions
50201,37.0,8.0,189.43,0,1,5,4,10,2,Champions
50202,43.0,13.0,292.72,0,3,5,5,13,2,Champions
50203,46.0,1.0,152.38,1,5,1,2,8,1,Loyal Customers
50204,45.0,1.0,146.82,0,5,1,2,8,1,Loyal Customers
50205,45.0,1.0,283.0,0,5,1,5,11,0,Champions
50206,46.0,1.0,152.57,0,5,1,2,8,1,Loyal Customers
50207,42.0,1.0,163.49,0,2,1,3,6,1,Loyal Customers
50208,43.0,1.0,148.69,0,3,1,2,6,1,Loyal Customers
50209,46.0,1.0,199.85,0,5,1,4,10,1,Loyal Customers
50210,38.0,9.0,136.97,0,1,5,1,7,2,Champions
50211,44.0,1.0,174.57,0,4,1,4,9,1,Loyal Customers
50212,39.0,1.0,121.19,1,2,1,1,4,3,Champions
50213,44.0,2.0,139.83,0,4,2,1,7,1,Loyal Customers
50214,44.0,1.0,161.18,0,4,1,3,8,1,Loyal Customers
50215,39.0,1.0,162.14,0,2,1,3,6,3,Champions
50216,42.0,1.0,163.47,0,2,1,3,6,1,Loyal Customers
50217,43.0,2.0,215.1,0,3,2,5,10,0,Champions
50218,36.0,4.0,171.43,0,1,4,3,8,3,Champions
50219,39.0,1.0,182.68,0,2,1,4,7,3,Champions
50220,33.0,1.0,180.95,0,1,1,4,6,3,Champions
50221,44.0,1.0,129.04,0,4,1,1,6,1,Loyal Customers
50222,44.0,1.0,160.32,0,4,1,3,8,1,Loyal Customers
50223,46.0,1.0,129.76,0,5,1,1,7,1,Loyal Customers
50224,46.0,2.0,259.92,0,5,2,5,12,0,Champions
50225,44.0,1.0,146.49,0,4,1,2,7,1,Loyal Customers
50226,46.0,1.0,126.96,0,5,1,1,7,1,Loyal Customers
50227,39.0,1.0,123.7,0,2,1,1,4,3,Champions
50228,43.0,1.0,225.04,0,3,1,5,9,0,Champions
50229,39.0,6.0,159.74,0,2,5,3,10,3,Champions
50230,44.0,2.0,147.36,0,4,2,2,8,1,Loyal Customers
50231,39.0,7.0,152.96,0,2,5,2,9,3,Champions
50232,46.0,1.0,167.81,0,5,1,3,9,1,Loyal Customers
50233,44.0,1.0,121.74,1,4,1,1,6,1,Loyal Customers
50234,46.0,1.0,166.53,0,5,1,3,9,1,Loyal Customers
50235,34.0,1.0,196.99,0,1,1,4,6,3,Champions
50236,44.0,1.0,167.55,0,4,1,3,8,1,Loyal Customers
50237,39.0,1.0,122.13,0,2,1,1,4,3,Champions
50238,44.0,2.0,126.1,0,4,2,1,7,1,Loyal Customers
50239,46.0,1.0,128.51,1,5,1,1,7,1,Loyal Customers
50240,43.0,1.0,134.52,0,3,1,1,5,1,Loyal Customers
50241,46.0,1.0,152.58,0,5,1,2,8,1,Loyal Customers
50242,39.0,7.0,193.55,1,2,5,4,11,2,Champions
50243,43.0,1.0,204.96,0,3,1,4,8,1,Loyal Customers
50244,46.0,1.0,163.8,1,5,1,3,9,1,Loyal Customers
50245,44.0,2.0,126.57,0,4,2,1,7,1,Loyal Customers
50246,46.0,1.0,127.16,1,5,1,1,7,1,Loyal Customers
50247,44.0,1.0,122.01,0,4,1,1,6,1,Loyal Customers
50248,46.0,1.0,165.4,0,5,1,3,9,1,Loyal Customers
50249,42.0,1.0,138.16,0,2,1,1,4,1,Loyal Customers
50250,39.0,1.0,152.53,0,2,1,2,5,3,Champions
50251,46.0,1.0,145.0,0,5,1,2,8,1,Loyal Customers
50252,39.0,1.0,149.36,0,2,1,2,5,3,Champions
50253,44.0,2.0,125.43,0,4,2,1,7,1,Loyal Customers
50254,42.0,1.0,153.04,1,2,1,2,5,1,Loyal Customers
50255,44.0,1.0,266.59,0,4,1,5,10,0,Champions
50256,43.0,1.0,142.6,0,3,1,2,6,1,Loyal Customers
50257,46.0,1.0,124.76,0,5,1,1,7,1,Loyal Customers
50258,42.0,1.0,131.02,1,2,1,1,4,1,Loyal Customers
50259,44.0,1.0,122.44,0,4,1,1,6,1,Loyal Customers
50260,46.0,9.0,175.96,0,5,5,4,14,2,Champions
50261,46.0,1.0,122.85,1,5,1,1,7,1,Loyal Customers
50262,29.0,12.0,130.34,0,1,5,1,7,2,Champions
50263,43.0,1.0,157.15,0,3,1,3,7,1,Loyal Customers
50264,44.0,1.0,125.76,0,4,1,1,6,1,Loyal Customers
50265,45.0,1.0,141.97,0,5,1,2,8,1,Loyal Customers
50266,37.0,2.0,243.36,0,1,2,5,8,0,Champions
50267,46.0,1.0,134.48,0,5,1,1,7,1,Loyal Customers
50268,44.0,1.0,294.06,0,4,1,5,10,0,Champions
50269,44.0,1.0,165.38,0,4,1,3,8,1,Loyal Customers
50270,34.0,3.0,143.06,0,1,4,2,7,3,Champions
50271,44.0,1.0,122.58,0,4,1,1,6,1,Loyal Customers
50272,44.0,1.0,145.22,0,4,1,2,7,1,Loyal Customers
50273,43.0,1.0,144.87,0,3,1,2,6,1,Loyal Customers
50274,39.0,10.0,144.49,0,2,5,2,9,2,Champions
50275,44.0,3.0,122.18,0,4,4,1,9,1,Loyal Customers
50276,40.0,1.0,291.97,0,2,1,5,8,0,Champions
50277,39.0,2.0,232.12,0,2,2,5,9,0,Champions
50278,42.0,4.0,165.77,0,2,4,3,9,1,Loyal Customers
50279,39.0,1.0,183.92,0,2,1,4,7,3,Champions
50280,38.0,1.0,145.58,0,1,1,2,4,3,Champions
50281,44.0,1.0,140.31,1,4,1,1,6,1,Loyal Customers
50282,42.0,1.0,179.69,0,2,1,4,7,1,Loyal Customers
50283,44.0,1.0,126.54,0,4,1,1,6,1,Loyal Customers
50284,42.0,1.0,265.55,0,2,1,5,8,0,Champions
50285,44.0,1.0,145.56,0,4,1,2,7,1,Loyal Customers
50286,44.0,1.0,160.91,0,4,1,3,8,1,Loyal Customers
50287,36.0,11.0,295.66,0,1,5,5,11,2,Champions
50288,38.0,1.0,148.1,0,1,1,2,4,3,Champions
50289,42.0,1.0,145.23,0,2,1,2,5,1,Loyal Customers
50290,42.0,1.0,132.02,1,2,1,1,4,1,Loyal Customers
50291,46.0,1.0,123.51,1,5,1,1,7,1,Loyal Customers
50292,46.0,1.0,117.02,0,5,1,1,7,1,Loyal Customers
50293,34.0,1.0,280.41,0,1,1,5,7,0,Champions
50294,44.0,1.0,128.86,0,4,1,1,6,1,Loyal Customers
50295,42.0,1.0,120.97,0,2,1,1,4,1,Loyal Customers
50296,43.0,1.0,219.35,0,3,1,5,9,0,Champions
50297,45.0,1.0,125.46,1,5,1,1,7,1,Loyal Customers
50298,46.0,1.0,125.64,1,5,1,1,7,1,Loyal Customers
50299,38.0,7.0,184.12,0,1,5,4,10,2,Champions
50300,46.0,2.0,241.18,0,5,2,5,12,0,Champions
50301,39.0,15.0,270.46,0,2,5,5,12,2,Champions
50302,39.0,6.0,125.64,0,2,5,1,8,3,Champions
50303,35.0,13.0,202.66,0,1,5,4,10,2,Champions
50304,42.0,1.0,150.7,0,2,1,2,5,1,Loyal Customers
50305,45.0,1.0,278.61,0,5,1,5,11,0,Champions
50306,43.0,4.0,142.3,0,3,4,2,9,1,Loyal Customers
50307,46.0,1.0,137.8,0,5,1,1,7,1,Loyal Customers
50308,39.0,5.0,127.68,0,2,5,1,8,3,Champions
50309,44.0,1.0,190.71,0,4,1,4,9,1,Loyal Customers
50310,38.0,1.0,206.48,0,1,1,4,6,3,Champions
50311,39.0,2.0,236.1,1,2,2,5,9,0,Champions
50312,43.0,1.0,134.08,1,3,1,1,5,1,Loyal Customers
50313,44.0,1.0,129.83,0,4,1,1,6,1,Loyal Customers
50314,46.0,1.0,176.32,0,5,1,4,10,1,Loyal Customers
50315,46.0,1.0,198.24,1,5,1,4,10,1,Loyal Customers
50316,44.0,1.0,199.5,1,4,1,4,9,1,Loyal Customers
50317,46.0,2.0,120.93,0,5,2,1,8,1,Loyal Customers
50318,39.0,9.0,199.8,0,2,5,4,11,2,Champions
50319,44.0,1.0,138.94,1,4,1,1,6,1,Loyal Customers
50320,39.0,6.0,140.51,0,2,5,1,8,3,Champions
50321,39.0,7.0,268.35,0,2,5,5,12,2,Champions
50322,36.0,1.0,162.3,0,1,1,3,5,3,Champions
50323,37.0,6.0,147.17,0,1,5,2,8,3,Champions
50324,33.0,2.0,232.37,0,1,2,5,8,3,Champions
50325,39.0,1.0,137.55,0,2,1,1,4,3,Champions
50326,41.0,1.0,165.82,0,2,1,3,6,1,Loyal Customers
50327,38.0,5.0,174.06,0,1,5,4,10,3,Champions
50328,39.0,3.0,148.05,0,2,4,2,8,3,Champions
50329,46.0,1.0,127.41,1,5,1,1,7,1,Loyal Customers
50330,44.0,1.0,142.62,0,4,1,2,7,1,Loyal Customers
50331,41.0,1.0,261.84,0,2,1,5,8,0,Champions
50332,43.0,1.0,215.57,0,3,1,5,9,0,Champions
50333,46.0,1.0,118.78,1,5,1,1,7,1,Loyal Customers
50334,43.0,1.0,209.32,0,3,1,5,9,0,Champions
50335,39.0,1.0,168.11,0,2,1,3,6,3,Champions
50336,46.0,1.0,143.06,0,5,1,2,8,1,Loyal Customers
50337,43.0,1.0,148.59,0,3,1,2,6,1,Loyal Customers
50338,39.0,5.0,153.37,0,2,5,2,9,3,Champions
50339,46.0,1.0,123.4,1,5,1,1,7,1,Loyal Customers
50340,44.0,1.0,174.91,0,4,1,4,9,1,Loyal Customers
50341,44.0,1.0,205.27,0,4,1,4,9,1,Loyal Customers
50342,38.0,11.0,265.95,0,1,5,5,11,2,Champions
50343,39.0,7.0,188.34,0,2,5,4,11,2,Champions
50344,37.0,6.0,155.77,0,1,5,3,9,3,Champions
50345,44.0,1.0,147.07,1,4,1,2,7,1,Loyal Customers
50346,45.0,2.0,124.0,0,5,2,1,8,1,Loyal Customers
50347,46.0,1.0,198.24,0,5,1,4,10,1,Loyal Customers
50348,43.0,4.0,164.47,0,3,4,3,10,1,Loyal Customers
50349,37.0,1.0,295.02,0,1,1,5,7,0,Champions
50350,42.0,1.0,127.25,0,2,1,1,4,1,Loyal Customers
50351,42.0,1.0,162.72,0,2,1,3,6,1,Loyal Customers
50352,46.0,1.0,121.27,0,5,1,1,7,1,Loyal Customers
50353,39.0,10.0,282.0,0,2,5,5,12,2,Champions
50354,40.0,1.0,120.96,0,2,1,1,4,1,Loyal Customers
50355,44.0,1.0,128.86,1,4,1,1,6,1,Loyal Customers
50356,46.0,1.0,120.33,1,5,1,1,7,1,Loyal Customers
50357,43.0,1.0,136.22,0,3,1,1,5,1,Loyal Customers
50358,44.0,1.0,142.33,1,4,1,2,7,1,Loyal Customers
50359,44.0,1.0,136.81,0,4,1,1,6,1,Loyal Customers
50360,39.0,5.0,154.6,0,2,5,3,10,3,Champions
50361,43.0,1.0,121.87,0,3,1,1,5,1,Loyal Customers
50362,46.0,1.0,196.02,0,5,1,4,10,1,Loyal Customers
50363,46.0,1.0,128.36,0,5,1,1,7,1,Loyal Customers
50364,44.0,2.0,140.89,0,4,2,2,8,1,Loyal Customers
50365,46.0,1.0,266.27,0,5,1,5,11,0,Champions
50366,46.0,1.0,126.19,0,5,1,1,7,1,Loyal Customers
50367,39.0,4.0,156.79,0,2,4,3,9,3,Champions
50368,44.0,2.0,254.02,0,4,2,5,11,0,Champions
50369,44.0,1.0,159.85,0,4,1,3,8,1,Loyal Customers
50370,40.0,1.0,125.79,0,2,1,1,4,1,Loyal Customers
50371,44.0,1.0,130.41,1,4,1,1,6,1,Loyal Customers
50372,44.0,1.0,134.47,0,4,1,1,6,1,Loyal Customers
50373,45.0,1.0,295.13,0,5,1,5,11,0,Champions
50374,44.0,2.0,127.73,0,4,2,1,7,1,Loyal Customers
50375,44.0,1.0,171.04,0,4,1,3,8,1,Loyal Customers
50376,41.0,1.0,163.22,0,2,1,3,6,1,Loyal Customers
50377,46.0,1.0,120.83,0,5,1,1,7,1,Loyal Customers
50378,36.0,8.0,183.81,0,1,5,4,10,2,Champions
50379,38.0,8.0,126.91,0,1,5,1,7,2,Champions
50380,46.0,1.0,142.86,1,5,1,2,8,1,Loyal Customers
50381,44.0,1.0,126.59,0,4,1,1,6,1,Loyal Customers
50382,38.0,7.0,194.34,0,1,5,4,10,2,Champions
50383,44.0,1.0,155.61,0,4,1,3,8,1,Loyal Customers
50384,38.0,11.0,166.46,0,1,5,3,9,2,Champions
50385,39.0,4.0,177.25,0,2,4,4,10,3,Champions
50386,45.0,7.0,207.25,0,5,5,4,14,0,Champions
50387,44.0,1.0,188.47,0,4,1,4,9,1,Loyal Customers
50388,45.0,1.0,120.45,0,5,1,1,7,1,Loyal Customers
50389,45.0,1.0,110.09,1,5,1,1,7,1,Loyal Customers
50390,39.0,9.0,133.48,1,2,5,1,8,2,Champions
50391,46.0,1.0,112.81,0,5,1,1,7,1,Loyal Customers
50392,44.0,1.0,128.19,0,4,1,1,6,1,Loyal Customers
50393,44.0,1.0,148.51,0,4,1,2,7,1,Loyal Customers
50394,41.0,1.0,140.28,0,2,1,1,4,1,Loyal Customers
50395,38.0,2.0,127.2,0,1,2,1,4,3,Champions
50396,44.0,2.0,181.2,0,4,2,4,10,1,Loyal Customers
50397,42.0,1.0,146.47,0,2,1,2,5,1,Loyal Customers
50398,46.0,1.0,146.8,0,5,1,2,8,1,Loyal Customers
50399,38.0,3.0,132.21,0,1,4,1,6,3,Champions
50400,39.0,7.0,186.21,0,2,5,4,11,2,Champions
50401,46.0,2.0,145.77,1,5,2,2,9,1,Loyal Customers
50402,36.0,11.0,145.53,0,1,5,2,8,2,Champions
50403,38.0,1.0,153.96,0,1,1,3,5,3,Champions
50404,43.0,1.0,167.96,1,3,1,3,7,1,Loyal Customers
50405,38.0,1.0,176.25,0,1,1,4,6,3,Champions
50406,39.0,1.0,174.12,0,2,1,4,7,3,Champions
50407,43.0,7.0,211.59,0,3,5,5,13,2,Champions
50408,39.0,1.0,149.6,0,2,1,2,5,3,Champions
50409,34.0,1.0,204.75,0,1,1,4,6,3,Champions
50410,43.0,2.0,248.14,0,3,2,5,10,0,Champions
50411,40.0,12.0,291.41,0,2,5,5,12,2,Champions
50412,44.0,2.0,154.05,0,4,2,3,9,1,Loyal Customers
50413,39.0,1.0,187.93,0,2,1,4,7,3,Champions
50414,36.0,2.0,291.89,0,1,2,5,8,0,Champions
50415,44.0,2.0,138.75,0,4,2,1,7,1,Loyal Customers
50416,39.0,3.0,122.16,1,2,4,1,7,3,Champions
50417,43.0,1.0,217.13,0,3,1,5,9,0,Champions
